city_id,city_name,query,latitude,longitude,display_name,osm_type,osm_id,class,type,found
1,Mont Saint Michel,"Mont Saint Michel, France",48.6359541,-1.51146,"Mont Saint-Michel, Le Mont-Saint-Michel, Avranches, Manche, Normandie, France métropolitaine, 50170, France",way,211285890,,islet,True
2,St Malo,"St Malo, France",48.649518,-2.0260409,"Saint-Malo, Ille-et-Vilaine, Bretagne, France métropolitaine, 35400, France",relation,905534,,administrative,True
3,Bayeux,"Bayeux, France",49.2764624,-0.7024738,"Bayeux, Calvados, Normandie, France métropolitaine, 14400, France",relation,145776,,administrative,True
4,Le Havre,"Le Havre, France",49.4938975,0.1079732,"Le Havre, Seine-Maritime, Normandie, France métropolitaine, France",relation,104492,,administrative,True
5,Rouen,"Rouen, France",49.4404591,1.0939658,"Rouen, Seine-Maritime, Normandie, France métropolitaine, France",relation,75628,,administrative,True
6,Paris,"Paris, France",48.8588897,2.320041,"Paris, Île-de-France, France métropolitaine, France",relation,7444,,administrative,True
7,Amiens,"Amiens, France",49.8941708,2.2956951,"Amiens, Somme, Hauts-de-France, France métropolitaine, France",relation,114347,,administrative,True
8,Lille,"Lille, France",50.6365654,3.0635282,"Lille, Nord, Hauts-de-France, France métropolitaine, France",relation,58404,,administrative,True
9,Strasbourg,"Strasbourg, France",48.584614,7.7507127,"Strasbourg, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, France",relation,71033,,administrative,True
10,Chateau du Haut Koenigsbourg,"Chateau du Haut Koenigsbourg, France",48.249382,7.3439412,"Château du Haut-Kœnigsbourg, D 159, Schaflager, Orschwiller, Sélestat-Erstein, Bas-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 67600, France",way,1299451538,,castle,True
11,Colmar,"Colmar, France",48.0777517,7.3579641,"Colmar, Colmar-Ribeauvillé, Haut-Rhin, Collectivité européenne d'Alsace, Grand Est, France métropolitaine, 68000, France",relation,61423,,administrative,True
12,Eguisheim,"Eguisheim, France",48.0447968,7.3079618,"Eguisheim, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68420, France",relation,79442,,administrative,True
13,Besancon,"Besancon, France",47.2380222,6.0243622,"Besançon, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25000, France",relation,103599,,administrative,True
14,Dijon,"Dijon, France",47.3215806,5.0414701,"Dijon, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21000, France",relation,74090,,administrative,True
15,Annecy,"Annecy, France",45.8992348,6.1288847,"Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France métropolitaine, France",relation,6791758,,administrative,True
16,Grenoble,"Grenoble, France",45.1875602,5.7357819,"Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, France",relation,80348,,administrative,True
17,Lyon,"Lyon, France",45.7578137,4.8320114,"Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France",relation,120965,,administrative,True
18,Gorges du Verdon,"Gorges du Verdon, France",43.7496562,6.3285616,"Gorges du Verdon, Route de la Maline, La Palud-sur-Verdon, Castellane, Alpes-de-Haute-Provence, Provence-Alpes-Côte d'Azur, France métropolitaine, 04120, France",node,7193513219,,attraction,True
19,Bormes les Mimosas,"Bormes les Mimosas, France",43.1506968,6.3419285,"Bormes-les-Mimosas, Toulon, Var, Provence-Alpes-Côte d'Azur, France métropolitaine, 83230, France",relation,1118915,,administrative,True
20,Cassis,"Cassis, France",43.2140359,5.5396318,"Cassis, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13260, France",relation,76425,,administrative,True
21,Marseille,"Marseille, France",43.2961743,5.3699525,"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",relation,76469,,administrative,True
22,Aix en Provence,"Aix en Provence, France",43.5298424,5.4474738,"Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, France",relation,70279,,administrative,True
23,Avignon,"Avignon, France",43.9492493,4.8059012,"Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France",relation,102478,,administrative,True
24,Uzes,"Uzes, France",44.0121279,4.4196718,"Uzès, Nîmes, Gard, Occitanie, France métropolitaine, 30700, France",relation,380050,,administrative,True
25,Nimes,"Nimes, France",43.8374249,4.3600687,"Nîmes, Gard, Occitanie, France métropolitaine, France",relation,378685,,administrative,True
26,Aigues Mortes,"Aigues Mortes, France",43.5661521,4.19154,"Aigues-Mortes, Nîmes, Gard, Occitanie, France métropolitaine, 30220, France",relation,272287,,administrative,True
27,Saintes Maries de la mer,"Saintes Maries de la mer, France",43.4515922,4.4277202,"Saintes-Maries-de-la-Mer, Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13460, France",relation,414459,,administrative,True
28,Collioure,"Collioure, France",42.52505,3.0831554,"Collioure, Céret, Pyrénées-Orientales, Occitanie, France métropolitaine, 66190, France",relation,18409,,administrative,True
29,Carcassonne,"Carcassonne, France",43.2130358,2.3491069,"Carcassonne, Aude, Occitanie, France métropolitaine, 11000, France",relation,37774,,administrative,True
30,Ariege,"Ariege, France",42.9455368,1.4065544,"Ariège, Occitanie, France métropolitaine, France",relation,7439,,administrative,True
31,Toulouse,"Toulouse, France",43.6044638,1.4442433,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France",relation,35738,,administrative,True
32,Montauban,"Montauban, France",44.0175835,1.3549991,"Montauban, Tarn-et-Garonne, Occitanie, France métropolitaine, 82000, France",relation,137735,,administrative,True
33,Biarritz,"Biarritz, France",43.4832523,-1.5592776,"Biarritz, Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64200, France",relation,166717,,administrative,True
34,Bayonne,"Bayonne, France",43.4945144,-1.4736657,"Bayonne, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France métropolitaine, 64100, France",relation,166713,,administrative,True
35,La Rochelle,"La Rochelle, France",46.159732,-1.1515951,"La Rochelle, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17000, France",relation,117858,,administrative,True
